query,type,assigned_to
new gadgets 2026,new_product,leader
latest gear release,new_product,leader
new equipment unboxing,new_product,leader
latest tech and gear,new_product,leader
unboxing new gear,review,leader
gear review,review,leader
equipment review,review,leader
first look gadgets,review,leader
gear travel setup,usage,leader
bag setup gear,usage,leader
how i pack my gear,usage,leader
equipment organization,usage,leader
how to protect gear,problem,leader
how to store equipment,problem,leader
equipment damaged in bag,problem,leader
