category,object,query,type,assigned_to
tools_equipment,tools,tools unboxing,object,member_4
tools_equipment,tools,tools review,object,member_4
tools_equipment,tools,tools travel setup,object,member_4
tools_equipment,tools,tools bag setup,object,member_4
tools_equipment,tools,how to protect tools,object,member_4
tools_equipment,tools,tools damaged in bag,object,member_4
tools_equipment,equipment,equipment unboxing,object,member_4
tools_equipment,equipment,equipment review,object,member_4
tools_equipment,equipment,equipment travel setup,object,member_4
tools_equipment,equipment,equipment bag setup,object,member_4
tools_equipment,equipment,how to protect equipment,object,member_4
tools_equipment,equipment,equipment damaged in bag,object,member_4
tools_equipment,fragile equipment,fragile equipment unboxing,object,member_4
tools_equipment,fragile equipment,fragile equipment review,object,member_4
tools_equipment,fragile equipment,fragile equipment travel setup,object,member_4
tools_equipment,fragile equipment,fragile equipment bag setup,object,member_4
tools_equipment,fragile equipment,how to protect fragile equipment,object,member_4
tools_equipment,fragile equipment,fragile equipment damaged in bag,object,member_4
tools_equipment,precision tools,precision tools unboxing,object,member_4
tools_equipment,precision tools,precision tools review,object,member_4
tools_equipment,precision tools,precision tools travel setup,object,member_4
tools_equipment,precision tools,precision tools bag setup,object,member_4
tools_equipment,precision tools,how to protect precision tools,object,member_4
tools_equipment,precision tools,precision tools damaged in bag,object,member_4
