category,object,intent,scenario,pain_pattern,query,query_type,assigned_to
travel_outdoor,tools,organizer,daily use,,tools organizer daily use,product_intent_scenario,member_5
travel_outdoor,tools,travel case,how to carry,,tools travel case how to carry,product_intent_scenario,member_5
travel_outdoor,camping gear,protective case,daily use,,camping gear protective case daily use,product_intent_scenario,member_5
travel_outdoor,travel gear,storage,review,,travel gear storage review,product_intent_scenario,member_5
travel_outdoor,tools,holder,how to store,,tools holder how to store,product_intent_scenario,member_5
travel_outdoor,camping gear,box,daily use,,camping gear box daily use,product_intent_scenario,member_5
travel_outdoor,carry on essentials,holder,how to store,,carry on essentials holder how to store,product_intent_scenario,member_5
travel_outdoor,tools,travel case,daily use,,tools travel case daily use,product_intent_scenario,member_5
travel_outdoor,hiking equipment,travel case,EDC,,hiking equipment travel case EDC,product_intent_scenario,member_5
travel_outdoor,carry on essentials,protective case,daily use,,carry on essentials protective case daily use,product_intent_scenario,member_5
travel_outdoor,camping gear,organizer,unboxing,,camping gear organizer unboxing,product_intent_scenario,member_5
travel_outdoor,tools,carrying case,review,,tools carrying case review,product_intent_scenario,member_5
travel_outdoor,travel gear,carrying case,review,,travel gear carrying case review,product_intent_scenario,member_5
travel_outdoor,camping gear,holder,review,,camping gear holder review,product_intent_scenario,member_5
travel_outdoor,carry on essentials,organizer,travel,,carry on essentials organizer travel,product_intent_scenario,member_5
travel_outdoor,camping gear,storage,how to carry,,camping gear storage how to carry,product_intent_scenario,member_5
travel_outdoor,hiking equipment,holder,unboxing,,hiking equipment holder unboxing,product_intent_scenario,member_5
travel_outdoor,travel gear,holder,how to store,,travel gear holder how to store,product_intent_scenario,member_5
travel_outdoor,travel gear,carrying case,travel,,travel gear carrying case travel,product_intent_scenario,member_5
travel_outdoor,travel gear,storage,desk setup,,travel gear storage desk setup,product_intent_scenario,member_5
travel_outdoor,travel gear,carrying case,how to use,,travel gear carrying case how to use,product_intent_scenario,member_5
travel_outdoor,travel gear,carrying case,EDC,,travel gear carrying case EDC,product_intent_scenario,member_5
travel_outdoor,tools,box,how to use,,tools box how to use,product_intent_scenario,member_5
travel_outdoor,travel gear,case,desk setup,,travel gear case desk setup,product_intent_scenario,member_5
travel_outdoor,camping gear,protective case,how to use,,camping gear protective case how to use,product_intent_scenario,member_5
travel_outdoor,tools,box,how to carry,,tools box how to carry,product_intent_scenario,member_5
travel_outdoor,tools,storage,travel,,tools storage travel,product_intent_scenario,member_5
travel_outdoor,carry on essentials,hard case,travel,,carry on essentials hard case travel,product_intent_scenario,member_5
travel_outdoor,camping gear,organizer,daily use,,camping gear organizer daily use,product_intent_scenario,member_5
travel_outdoor,hiking equipment,storage,review,,hiking equipment storage review,product_intent_scenario,member_5
travel_outdoor,hiking equipment,box,daily use,,hiking equipment box daily use,product_intent_scenario,member_5
travel_outdoor,carry on essentials,box,how to carry,,carry on essentials box how to carry,product_intent_scenario,member_5
travel_outdoor,carry on essentials,box,EDC,,carry on essentials box EDC,product_intent_scenario,member_5
travel_outdoor,camping gear,protective case,travel,,camping gear protective case travel,product_intent_scenario,member_5
travel_outdoor,travel gear,carrying case,how to store,,travel gear carrying case how to store,product_intent_scenario,member_5
travel_outdoor,carry on essentials,travel case,how to carry,,carry on essentials travel case how to carry,product_intent_scenario,member_5
travel_outdoor,tools,storage,how to store,,tools storage how to store,product_intent_scenario,member_5
travel_outdoor,tools,carrying case,daily use,,tools carrying case daily use,product_intent_scenario,member_5
travel_outdoor,travel gear,carrying case,daily use,,travel gear carrying case daily use,product_intent_scenario,member_5
travel_outdoor,tools,travel case,how to store,,tools travel case how to store,product_intent_scenario,member_5
travel_outdoor,tools,travel case,unboxing,,tools travel case unboxing,product_intent_scenario,member_5
travel_outdoor,camping gear,box,how to use,,camping gear box how to use,product_intent_scenario,member_5
travel_outdoor,travel gear,carrying case,setup,,travel gear carrying case setup,product_intent_scenario,member_5
travel_outdoor,hiking equipment,organizer,how to store,,hiking equipment organizer how to store,product_intent_scenario,member_5
travel_outdoor,tools,storage,desk setup,,tools storage desk setup,product_intent_scenario,member_5
travel_outdoor,carry on essentials,travel case,how to store,,carry on essentials travel case how to store,product_intent_scenario,member_5
travel_outdoor,hiking equipment,organizer,setup,,hiking equipment organizer setup,product_intent_scenario,member_5
travel_outdoor,hiking equipment,case,how to store,,hiking equipment case how to store,product_intent_scenario,member_5
travel_outdoor,tools,storage,EDC,,tools storage EDC,product_intent_scenario,member_5
travel_outdoor,travel gear,carrying case,desk setup,,travel gear carrying case desk setup,product_intent_scenario,member_5
travel_outdoor,travel gear,storage,how to use,,travel gear storage how to use,product_intent_scenario,member_5
travel_outdoor,hiking equipment,case,review,,hiking equipment case review,product_intent_scenario,member_5
travel_outdoor,carry on essentials,organizer,review,,carry on essentials organizer review,product_intent_scenario,member_5
travel_outdoor,travel gear,travel case,setup,,travel gear travel case setup,product_intent_scenario,member_5
travel_outdoor,carry on essentials,travel case,travel,,carry on essentials travel case travel,product_intent_scenario,member_5
travel_outdoor,travel gear,hard case,unboxing,,travel gear hard case unboxing,product_intent_scenario,member_5
travel_outdoor,tools,storage,how to carry,,tools storage how to carry,product_intent_scenario,member_5
travel_outdoor,travel gear,hard case,how to store,,travel gear hard case how to store,product_intent_scenario,member_5
